period_days,radius_rearth,depth_true,depth_fit,t14_true,t14_seed
2.0,4,0.002274702679150808,0.0006749820501472737,0.07136512477007287,0.05
2.0,4,0.0011119041285244445,0.00029002255588373484,0.10020896283646244,0.1
2.0,4,0.0016632689931103052,0.0007925676338347173,0.08878824066736425,0.05
2.0,4,0.0007706769979594917,0.0004115670141642278,0.10475400787835358,0.05
2.0,4,0.00039414077698854866,0.00020016413728497429,0.1586438781077952,0.2
2.0,8,0.009098810716603232,0.0026420597719938946,0.07786227893101497,0.05
2.0,8,0.0057385493909902895,0.003375124508700737,0.09641408509777033,0.1
2.0,4,0.0006539679994776389,0.000529071545241963,0.11006827608519898,0.05
2.0,4,0.0008301191553934877,0.0002557346939428168,0.09387425427504319,0.1
2.0,4,0.0017278370505876925,0.0005247630341623256,0.08865123084562447,0.1
2.0,4,0.0002057587134602902,0.0007509816321388722,0.2459006846390734,0.05
2.0,8,0.008555792380103993,0.008889241603046038,0.09107156351413134,0.05
2.0,8,0.006653075972441221,0.0027965183867736726,0.07695356038597612,0.05
2.0,8,0.001984165036695008,0.0015455551979283706,0.1491316492302302,0.1
2.0,8,0.003082707991837967,0.001705166519487151,0.1266516712964501,0.1
2.0,8,0.0009100253748006964,0.0003826714176438786,0.21462864522866765,0.1
2.0,8,0.004447616514097778,0.0016103981323244635,0.1080490552092933,0.1
2.0,8,0.004174841276198002,0.0016474512898591225,0.10565541909820503,0.1
2.0,8,0.020929158979576475,0.006127115704923094,0.06712556774159742,0.05
2.0,8,0.0007937753073538781,0.0007369958689095508,0.24756307049357323,0.2
2.0,8,0.003057399557937584,0.001906633700823036,0.1121218173252278,0.1
2.0,8,0.007431803457350298,0.0020891215564912617,0.08978379878332557,0.05
2.0,8,0.0020277953378259003,0.0010124320827472647,0.1375406206905076,0.1
2.0,8,0.007678351239353263,0.003033459088599615,0.07642739092611711,0.05
2.0,8,0.003320476621573951,0.0016335037357522798,0.11363794919042627,0.1
2.0,8,0.0008230348538411608,0.000759970163786098,0.2600731125413717,0.05
2.0,8,0.00043477428071903837,0.000456529601572733,0.3453252710664621,0.2
2.0,8,0.020018836268073267,0.004819993434175994,0.05995641420341034,0.05
2.0,8,0.008555792380103993,0.0032249839303495815,0.08761553814068303,0.05
2.0,8,0.0013188426330691414,0.000864430791721383,0.15449054252410258,0.1
2.0,8,0.010235910819241247,0.0017002666045236982,0.07902606336719449,0.05
2.0,8,0.009098810716603232,0.0028830022503300743,0.07491316626676635,0.05
2.0,8,0.005770211640875203,0.00204124587309772,0.09863642656124616,0.1
2.0,8,0.000571934897842139,0.0006156139876631306,0.2967782937778205,0.2
2.0,8,0.03393984755127748,0.013185260349324681,0.061583521668933605,0.05
2.0,8,0.0057385493909902895,0.0017736050593323202,0.09264396506674837,0.05
2.0,8,0.05950900198891743,0.006632815568621023,0.04792958693326302,0.05
2.0,8,0.004896372004980131,0.0014553434186890546,0.10777484023216033,0.1
2.0,12,0.01727629028854484,0.001069199762934195,0.091793479319501,0.05
2.0,12,0.0032329932824982743,0.0014529272646621062,0.15010768316475154,0.1
2.0,12,0.0009782421316178362,0.0009582583989625531,0.36227586214391017,0.2
2.0,12,0.012055309139922098,0.014728864430450479,0.10280597200976078,0.05
2.0,12,0.004562539510108274,0.0021950454512658173,0.14653038276787567,0.1
2.0,12,0.04709060770404708,0.01134756630109205,0.07395153009887707,0.05
2.0,12,0.008257277118115011,0.0042171849991431455,0.10647566803709312,0.1
2.0,12,0.0029673959244055676,0.0027165634567566876,0.1835903191864704,0.2
2.0,12,0.008040550829585075,0.0007966616571218354,0.11692265247316848,0.05
2.0,12,0.07636465699037434,0.010995535854035753,0.05864429357730229,0.05
2.0,12,0.0017859944415462255,0.00210550987214745,0.26139842973697175,0.2
2.0,12,0.04504238160316485,0.002187209895471398,0.07247529911600684,0.05
2.0,12,0.019622454722705875,0.004210064089581966,0.07257158968889967,0.05
2.0,12,0.019250532855233985,0.0016588226672407645,0.09495514828931319,0.05
2.0,12,0.01496942093799275,0.0006327388924802198,0.08113403150852237,0.05
2.0,12,0.020472324112357273,0.0037142582195857352,0.0812705934095414,0.05
2.0,12,0.0020475570933015668,0.0022705633057228383,0.21819979743631476,0.1
2.0,12,0.010007137156719999,0.005135453457615028,0.11146111122067869,0.1
2.0,12,0.0009782421316178362,0.0006714069645711859,0.34962121745276603,0.2
2.0,12,0.012055309139922098,0.006834677816270593,0.09001469074581275,0.05
